emp_no,first_name,last_name,to_date
10001,Georgi,Facello,"(10001,d005,1986-06-26,9999-01-01)"
10004,Chirstian,Koblick,"(10004,d004,1986-12-01,9999-01-01)"
10009,Sumant,Peac,"(10009,d006,1985-02-18,9999-01-01)"
10018,Kazuhide,Peha,"(10018,d004,1992-07-29,9999-01-01)"
10035,Alain,Chappelet,"(10035,d004,1988-09-05,9999-01-01)"
10053,Sanjiv,Zschoche,"(10053,d007,1994-11-13,9999-01-01)"
10058,Berhard,McFarlin,"(10058,d001,1988-04-25,9999-01-01)"
10066,Kwee,Schusler,"(10066,d005,1986-02-26,9999-01-01)"
10067,Claudi,Stavenow,"(10067,d006,1987-03-04,9999-01-01)"
10070,Reuven,Garigliano,"(10070,d008,1995-10-18,9999-01-01)"
10072,Hironoby,Sidou,"(10072,d005,1989-05-21,9999-01-01)"
10076,Erez,Ritzmann,"(10076,d005,1996-07-15,9999-01-01)"
10088,Jungsoon,Syrzycki,"(10088,d009,1992-03-21,9999-01-01)"
10100,Hironobu,Haraldson,"(10100,d003,1987-09-21,9999-01-01)"
10103,Akemi,Birch,"(10103,d005,1998-01-12,9999-01-01)"
10126,Kayoko,Valtorta,"(10126,d009,1985-09-08,9999-01-01)"
10129,Armond,Peir,"(10129,d005,1996-01-16,9999-01-01)"
10130,Nishit,Casperson,"(10130,d004,1988-06-21,9999-01-01)"
10134,Diederik,Siprelle,"(10134,d004,1993-12-02,9999-01-01)"
10138,Perry,Shimshoni,"(10138,d006,1992-03-03,9999-01-01)"
10150,Zhenbing,Perng,"(10150,d005,1986-11-16,9999-01-01)"
10153,Heekeun,Majewski,"(10153,d005,2000-01-08,9999-01-01)"
10157,Nigel,Aloisi,"(10157,d005,1997-12-10,9999-01-01)"
10198,Pranav,Furedi,"(10198,d005,1985-08-31,9999-01-01)"
10215,Xiaobin,Duclos,"(10215,d007,1991-11-23,9999-01-01)"
10224,Leon,Trogemann,"(10224,d004,1988-01-09,9999-01-01)"
10233,Lein,Vendrig,"(10233,d003,1994-04-29,9999-01-01)"
10258,Basil,Ishibashi,"(10258,d005,1985-05-17,9999-01-01)"
10272,Yishai,Cannane,"(10272,d002,1997-10-23,9999-01-01)"
10282,Hercules,Benzmuller,"(10282,d004,1996-05-02,9999-01-01)"
10283,Kauko,Birjandi,"(10283,d005,1988-05-25,9999-01-01)"
10326,Masali,Czap,"(10326,d008,1998-09-02,9999-01-01)"
10340,Djelloul,Laventhal,"(10340,d001,1988-03-30,9999-01-01)"
10347,Pradeep,Kaminger,"(10347,d008,1998-02-20,9999-01-01)"
10355,Satyanarayana,Cochrane,"(10355,d007,1996-01-26,9999-01-01)"
10356,Vasilis,Standera,"(10356,d008,1995-06-26,9999-01-01)"
10364,Nakhoon,Dengi,"(10364,d004,1985-11-14,9999-01-01)"
10372,Anneli,Frijda,"(10372,d004,1985-07-30,9999-01-01)"
10387,Parto,Wrigley,"(10387,d009,1994-01-07,9999-01-01)"
10396,Sibyl,Rahier,"(10396,d005,1986-01-11,9999-01-01)"
10402,Volkmar,Ebeling,"(10402,d006,1987-01-02,9999-01-01)"
10404,Prodip,Rosti,"(10404,d005,1988-08-28,9999-01-01)"
10426,Arunas,Luce,"(10426,d005,1985-07-06,9999-01-01)"
10429,Martien,Improta,"(10429,d005,1988-09-23,9999-01-01)"
10432,Hisao,Tiemann,"(10432,d009,1990-08-13,9999-01-01)"
10451,Bodh,Ranta,"(10451,d004,1988-03-12,9999-01-01)"
10453,Tsvetan,Matzel,"(10453,d009,1985-04-02,9999-01-01)"
10463,Ung,Zaiane,"(10463,d007,1994-02-17,9999-01-01)"
10486,Amstein,Kossowski,"(10486,d006,1987-10-08,9999-01-01)"
10494,Yakkov,Servieres,"(10494,d004,1991-12-18,9999-01-01)"
10504,Xiong,Varker,"(10504,d007,1999-10-19,9999-01-01)"
10512,Udi,Gihr,"(10512,d003,1989-11-28,9999-01-01)"
10522,Marke,Cesareni,"(10522,d003,1986-12-12,9999-01-01)"
10548,Ramalingam,Gunderson,"(10548,d001,1991-10-04,9999-01-01)"
10564,Jianhao,Thisen,"(10564,d004,1995-11-23,9999-01-01)"
10623,Aleksander,Danlos,"(10623,d008,1996-02-11,9999-01-01)"
10628,Krisda,Krogh,"(10628,d005,1987-03-14,9999-01-01)"
10631,Inderjeet,Chaudhuri,"(10631,d005,1994-10-18,9999-01-01)"
10642,Hirochika,Narlikar,"(10642,d005,1998-10-05,9999-01-01)"
10653,Otmar,Feinberg,"(10653,d005,1987-04-30,9999-01-01)"
10671,Parviz,Rebaine,"(10671,d003,1995-09-14,9999-01-01)"
10676,Valeri,Danley,"(10676,d005,1999-09-04,9999-01-01)"
10693,Berhard,Daescu,"(10693,d009,1986-01-08,9999-01-01)"
10702,Bader,Szemeredi,"(10702,d005,1991-01-14,9999-01-01)"
10718,Adib,Rullman,"(10718,d005,1988-07-21,9999-01-01)"
10726,Zita,Minakawa,"(10726,d005,1992-02-25,9999-01-01)"
10734,Sachar,Erdi,"(10734,d004,1995-12-19,9999-01-01)"
10745,Poorav,Ranze,"(10745,d004,1988-01-23,9999-01-01)"
10749,King,Brendel,"(10749,d004,1985-09-26,9999-01-01)"
10767,Monique,Doering,"(10767,d007,1997-07-15,9999-01-01)"
10768,Ishfaq,Candan,"(10768,d004,1985-07-04,9999-01-01)"
10778,Selwyn,Merey,"(10778,d001,1986-07-04,9999-01-01)"
10791,Tadahiko,Sgarro,"(10791,d005,1988-07-30,9999-01-01)"
10795,Supot,Naudin,"(10795,d007,1993-05-03,9999-01-01)"
10808,Chenxi,Leijenhorst,"(10808,d005,1987-03-07,9999-01-01)"
10835,Tomoyuki,Kermarrec,"(10835,d004,1995-08-22,9999-01-01)"
10836,Jianhua,Leivant,"(10836,d009,1991-07-01,9999-01-01)"
10844,Dipayan,Koprowski,"(10844,d005,1997-04-25,9999-01-01)"
10847,Theirry,Danley,"(10847,d008,1986-07-25,9999-01-01)"
10848,Fen,Bratsberg,"(10848,d004,1985-04-20,9999-01-01)"
10878,Lakshmi,Deville,"(10878,d007,1997-04-25,9999-01-01)"
10879,Muzhong,Chleq,"(10879,d005,1985-08-15,9999-01-01)"
10883,Shimshon,Champarnaud,"(10883,d004,1996-12-28,9999-01-01)"
10909,Georgi,Atchley,"(10909,d005,1993-12-26,9999-01-01)"
10921,Mara,Bahi,"(10921,d004,1986-07-27,9999-01-01)"
10924,Hironoby,Atchley,"(10924,d007,1988-08-14,9999-01-01)"
10927,Gal,Scallan,"(10927,d001,1986-09-12,9999-01-01)"
10936,Mountaz,Schicker,"(10936,d003,1990-05-09,9999-01-01)"
10943,Berna,Skafidas,"(10943,d005,1993-05-22,9999-01-01)"
10965,Eckart,Braunschweig,"(10965,d007,1986-07-29,9999-01-01)"
10969,Premal,Noriega,"(10969,d005,1994-05-12,9999-01-01)"
10974,Muneo,Papsdorf,"(10974,d005,1999-05-17,9999-01-01)"
10986,Masako,Schiper,"(10986,d005,1985-10-11,9999-01-01)"
